Anime,1st recomm,2nd recomm,3rd recomm
Yuâ˜†Giâ˜†Oh! Duel Monsters,Bakuman.,Log Horizon,Kono Subarashii Sekai ni Shukufuku wo!
Yuuâ˜†Yuuâ˜†Hakusho,Hotarubi no Mori e,Makai Ouji: Devils and Realist,Angel Beats!
Yuukoku no Moriarty,C: The Money of Soul and Possibility Control,Chainsaw Man,Boku no Hero Academia
Zankyou no Terror,Death Note,Donten ni Warau,Cyberpunk: Edgerunners
Zetsuen no Tempest,Summertime Render,"Kanojo, Okarishimasu",Suki tte Ii na yo.
Zettai Karen Children: The Unlimited - Hyoubu Kyousuke,Ga-Rei: Zero,"Sekai Saikou no Ansatsusha, Isekai Kizoku ni Tensei suru",Magic Kaito 1412
Zombieland Saga,Highschool of the Dead,Vivy: Fluorite Eye's Song,Brave 10
Bubble,Naruto,Neon Genesis Evangelion,Qualidea Code
Hotarubi no Mori e,Sen to Chihiro no Kamikakushi,Bungou Stray Dogs,Bleach
Howl no Ugoku Shiro,Aggressive Retsuko (ONA),Aggressive Retsuko (ONA),Bishoujo Senshi Sailor Moon
Kakurenbo,Naruto,Munou na Nana,Dragon Ball
Kimi no Na wa.,Great Teacher Onizuka,Cyberpunk: Edgerunners,Deatte 5-byou de Battle
Sen to Chihiro no Kamikakushi,Hotarubi no Mori e,High School DxD,InuYasha
Tenki no Ko,Hanebado!,Cyberpunk: Edgerunners,Slam Dunk
