Anime,1st recomm,2nd recomm,3rd recomm
Shokugeki no Souma,Bungou Stray Dogs 2nd Season,Banana Fish,Gokushufudou
Shokugeki no Souma: Ni no Sara,Kakegurui××,Beastars 2nd Season,Gokushufudou
Shouwa Genroku Rakugo Shinjuu,Yu☆Gi☆Oh! Duel Monsters GX,Naruto: Shippuuden,Seirei Gensouki
Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,Shinigami Bocchan to Kuro Maid,Mairimashita! Iruma-kun 2nd Season,Overlord IV
Shuumatsu no Walküre,Yu☆Gi☆Oh! Zexal Second,Vivy: Fluorite Eye's Song,God Eater
SK∞,Hanebado!,Shakunetsu Kabaddi,Cyberpunk: Edgerunners
Sono Bisque Doll wa Koi wo Suru,"Ijiranaide, Nagatoro-san",Ao Haru Ride,Mairimashita! Iruma-kun
Soul Eater,Hataraku Maou-sama!,God Eater,Blood Lad
Spy x Family,JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 2,Kuroshitsuji,Cike Wu Liuqi
Spy x Family Part 2,Mairimashita! Iruma-kun 3rd Season,D.Gray-man Hallow,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2
Star Wars: Visions,Kuroko no Basket Movie 4: Last Game,Bakuman. 2nd Season,Steins;Gate
Steins;Gate,Gintama°,Mondaiji-tachi ga Isekai kara Kuru Sou desu yo?,Pokemon XY
Steins;Gate Movie: Fuka Ryouiki no Déjà vu,Violet Evergarden,Gintama.: Porori-hen,Kokoro Connect: Michi Random
Subete ga F ni Naru,Persona 4 the Animation,JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 2,Overlord II
Suki tte Ii na yo.,Ao Haru Ride,Boku ga Aishita Subete no Kimi e,Zetsuen no Tempest
Summertime Render,Fullmetal Alchemist: Brotherhood,Nisemonogatari,Fruits Basket
Sword Art Online,Vivy: Fluorite Eye's Song,Overlord,Yu☆Gi☆Oh! VRAINS
Taboo Tattoo,Konjiki no Gash Bell!!,Ashita no Joe,Bleach
Tate no Yuusha no Nariagari,Donten ni Warau,K: Return of Kings,Ushio to Tora (TV)
Tate no Yuusha no Nariagari Season 2,Kono Subarashii Sekai ni Shukufuku wo!,Bishoujo Senshi Sailor Moon Eternal Movie 1,"Dragon Ball Z Movie 15: Fukkatsu no ""F"""
Tengen Toppa Gurren Lagann,Fate/stay night,Bubble,Youjo Senki
Tenki no Ko,Hanebado!,Cyberpunk: Edgerunners,Kimetsu no Yaiba: Yuukaku-hen
Tensei shitara Ken deshita,Kizumonogatari III: Reiketsu-hen,Kyoukai no Kanata,Hellsing
Terra Formars,Neon Genesis Evangelion,Black Bullet,Kiseijuu: Sei no Kakuritsu
Terra Formars: Revenge,Shingeki no Kyojin: The Final Season Part 2,Terra Formars,Kiseijuu: Sei no Kakuritsu
The God of High School,Yu☆Gi☆Oh! Duel Monsters GX,Baki,Kuroko no Basket 3rd Season
The Last: Naruto the Movie,Dragon Ball Super,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,Bishoujo Senshi Sailor Moon Eternal Movie 1
Tokyo Ghoul,Kono Subarashii Sekai ni Shukufuku wo!,Re:Zero kara Hajimeru Isekai Seikatsu,Cyberpunk: Edgerunners
Tokyo Revengers,Yojouhan Shinwa Taikei,Great Teacher Onizuka,Hanebado!
Tomodachi Game,Digimon Adventure 02,"Komi-san wa, Comyushou desu. 2nd Season",Shijou Saikyou no Deshi Kenichi
Tonari no Kaibutsu-kun,Ao Haru Ride,5-toubun no Hanayome,Boku ga Aishita Subete no Kimi e
Toradora!,Blue Period,Kobayashi-san Chi no Maid Dragon S,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e
Toriko,Cowboy Bebop,Trigun,Blood Lad
Trigun,Death Note,Shingeki no Kyojin,Yuukoku no Moriarty Part 2
Tsukimonogatari,Kokoro Connect: Michi Random,High School DxD OVA,Kizumonogatari II: Nekketsu-hen
Uma Musume: Pretty Derby,Kobayashi-san Chi no Maid Dragon S,Nana,Aria the Origination
Uma Musume: Pretty Derby Season 2,Kuroko no Basket Movie 2: Winter Cup - Namida no Saki e,Kobayashi-san Chi no Maid Dragon S,Kuroko no Basket 2nd Season
Ushio to Tora (TV),Fullmetal Alchemist: Brotherhood,Donten ni Warau,Ao no Exorcist: Kyoto Fujouou-hen
Ushio to Tora (TV) 2nd Season,Fate/Grand Order: Shinsei Entaku Ryouiki Camelot 2 - Paladin; Agateram,Fate/Grand Order: Shinsei Entaku Ryouiki Camelot 1 - Wandering; Agateram,Yowamushi Pedal: Grande Road
Vinland Saga,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders,Hajime no Ippo,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.
Violet Evergarden,Boku dake ga Inai Machi,Steins;Gate Movie: Fuka Ryouiki no Déjà vu,Zombieland Saga Revenge
Vivy: Fluorite Eye's Song,Kiseijuu: Sei no Kakuritsu,Koutetsujou no Kabaneri,Zombieland Saga
Wizard Barristers: Benmashi Cecil,Shaman King,Mahouka Koukou no Rettousei,Star Wars: Visions
Wonder Egg Priority,Zetsuen no Tempest,Kono Subarashii Sekai ni Shukufuku wo! 2,Kono Subarashii Sekai ni Shukufuku wo!
Wonder Egg Priority: Watashi no Priority,Aoharu x Kikanjuu,Kumichou Musume to Sewagakari,Suki tte Ii na yo.
World Trigger,Shingeki no Kyojin Season 3,Terra Formars: Revenge,Munou na Nana
World Trigger 2nd Season,Shingeki no Kyojin Season 3 Part 2,Fate/stay night: Unlimited Blade Works 2nd Season,Yu☆Gi☆Oh! Zexal Second
World Trigger 3rd Season,Shingeki no Kyojin: The Final Season Part 2,Fate/Zero 2nd Season,Kimetsu no Yaiba: Yuukaku-hen
Wotaku ni Koi wa Muzukashii,Darwin's Game,Kobayashi-san Chi no Maid Dragon,Tonikaku Kawaii
Wotaku ni Koi wa Muzukashii OVA,Hanebado!,Shakunetsu Kabaddi,Naruto: Shippuuden Movie 6 - Road to Ninja
Wu Liuqi: Xuanwu Guo Pian,Natsume Yuujinchou Roku,Fruits Basket: The Final,Gintama': Enchousen
Wu Liuqi: Zui Qiang Fa Xing Shi,High School DxD New,Fairy Tail Movie 2: Dragon Cry,Ajin Part 2
Yakusoku no Neverland,Otonari no Tenshi-sama ni Itsunomanika Dame Ningen ni Sareteita Ken,Kimetsu no Yaiba,Mairimashita! Iruma-kun 3rd Season
Yasuke,Evangelion: 1.0 You Are (Not) Alone,Ao no Exorcist,Naruto
Youjo Senki,Mushoku Tensei: Isekai Ittara Honki Dasu,Deatte 5-byou de Battle,Kill la Kill
Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e,Great Teacher Onizuka,"Komi-san wa, Comyushou desu.",Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation
Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 2nd Season,Mairimashita! Iruma-kun 3rd Season,Kokoro Connect: Michi Random,Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen
Young Black Jack,Inuyashiki,Bakuman.,Jujutsu Kaisen 0 Movie
Yowamushi Pedal,Mairimashita! Iruma-kun 3rd Season,Great Teacher Onizuka,Prince of Stride: Alternative
Yowamushi Pedal: Glory Line,Yowamushi Pedal: Grande Road,Mini Dragon,Ushio to Tora (TV) 2nd Season
Yowamushi Pedal: Grande Road,Yowamushi Pedal: Glory Line,Fate/Grand Order: Shinsei Entaku Ryouiki Camelot 2 - Paladin; Agateram,Mini Dragon
Yowamushi Pedal: Limit Break,Yowamushi Pedal,Blue Lock,Mairimashita! Iruma-kun 3rd Season
Yowamushi Pedal: New Generation,Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,Inazuma Eleven,Great Teacher Onizuka
Yozakura Quartet: Hana no Uta,Fruits Basket 2nd Season,Higurashi no Naku Koro ni,Nichijou
Yu☆Gi☆Oh! 5D's,Nomad: Megalo Box 2,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,Ajin Part 2
Yu☆Gi☆Oh! Arc-V,Yu☆Gi☆Oh! Zexal,Baki,Yu☆Gi☆Oh! Duel Monsters GX
Yu☆Gi☆Oh! Duel Monsters,Bakuman.,Yu☆Gi☆Oh! Duel Monsters GX,Saenai Heroine no Sodatekata
Yu☆Gi☆Oh! Duel Monsters GX,Baki,The God of High School,Shaman King
Yu☆Gi☆Oh! VRAINS,Sword Art Online,Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,Yu☆Gi☆Oh! 5D's
Yu☆Gi☆Oh! Zexal,Baki,Yu☆Gi☆Oh! Duel Monsters GX,Buzzer Beater
Yu☆Gi☆Oh! Zexal Second,"Dragon Ball Z Movie 15: Fukkatsu no ""F""",Devil Survivor 2 The Animation,God Eater
Yuu☆Yuu☆Hakusho,Makai Ouji: Devils and Realist,Hotarubi no Mori e,Gleipnir
Yuukoku no Moriarty,C: The Money of Soul and Possibility Control,Chainsaw Man,K: Return of Kings
Yuukoku no Moriarty Part 2,K: Return of Kings,Akame ga Kill!,Black Cat (TV)
Zankyou no Terror,Kimetsu no Yaiba: Yuukaku-hen,Cyberpunk: Edgerunners,Ansatsu Kyoushitsu 2nd Season
Zetsuen no Tempest,Summertime Render,"Kanojo, Okarishimasu",Suki tte Ii na yo.
Zettai Karen Children: The Unlimited - Hyoubu Kyousuke,Mairimashita! Iruma-kun 2nd Season,Mob Psycho 100 II,Kumichou Musume to Sewagakari
Zoku Natsume Yuujinchou,Boruto: Naruto the Movie,Yu☆Gi☆Oh! Duel Monsters,Natsume Yuujinchou Movie: Utsusemi ni Musubu
Zoku Owarimonogatari,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 2nd Season,Tokyo Ghoul,Sakura-sou no Pet na Kanojo
Zombieland Saga,Kono Subarashii Sekai ni Shukufuku wo!,No Game No Life: Zero,Highschool of the Dead
Zombieland Saga Revenge,Aggressive Retsuko (ONA),Gokushufudou Part 2,High School DxD
